experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
adult_baseline,0.819,0.679,0.8866,0.0221,0.6697,0.0,0.0,0.7999,0.0094,0.1493
adult_dp_local_adaptive,0.7829,0.6601,0.8902,0.0199,0.4397,0.0,2.7405,0.7999,0.0075,0.3853
adult_dp_local_eps1,0.7689,0.6467,0.8855,0.0166,0.4641,0.0,1.3182,0.7999,0.0076,0.355
adult_dp_local_eps2,0.7938,0.6672,0.8909,0.0206,0.4446,0.0,3.9559,0.7999,0.008,0.3099
adult_dp_local_eps5,0.8008,0.6728,0.894,0.022,0.4387,0.0,22.6747,0.7999,0.0078,0.2803
adult_dp_server_fixed,0.8268,0.6895,0.8951,0.0223,0.4136,0.0,594.8613,0.8005,0.0053,0.2474
adult_feature_poison_clip,0.8044,0.6847,0.9007,0.0219,0.6191,0.1956,0.0,0.8029,0.0007,0.6849
adult_feature_poison_krum,0.7873,0.6417,0.8591,0.0187,0.4782,0.2127,0.0,0.8029,0.0043,0.5748
adult_feature_poison_median,0.8112,0.6882,0.8949,0.0222,0.4639,0.1888,0.0,0.8029,0.0031,0.5788
adult_feature_poison_only,0.8175,0.6824,0.8904,0.0221,0.7096,0.1825,0.0,0.8029,0.0094,0.1384
adult_feature_poison_trimmed,0.8137,0.6886,0.8959,0.0224,0.4679,0.1863,0.0,0.8029,0.0027,0.5872
adult_final_system,0.7945,0.6654,0.8879,0.0195,0.4257,0.2055,3.9559,0.7999,0.0073,0.3861
adult_label_flip_clip,0.7897,0.6752,0.8943,0.022,0.6407,0.2103,0.0,0.8029,0.0004,0.6889
adult_label_flip_krum,0.8054,0.6379,0.8657,0.0197,0.4629,0.1946,0.0,0.8029,0.0036,0.5689
adult_label_flip_median,0.8135,0.6853,0.8888,0.0227,0.4901,0.1865,0.0,0.8029,0.0024,0.6107
adult_label_flip_only,0.8099,0.6669,0.8748,0.021,0.4707,0.1901,0.0,0.8029,0.0074,0.2543
adult_label_flip_trimmed,0.813,0.6831,0.8895,0.022,0.4987,0.187,0.0,0.8029,0.0024,0.6187
adult_scaling_clip,0.7683,0.657,0.8952,0.0217,0.5426,0.2317,0.0,0.8029,0.0013,0.6449
adult_scaling_krum,0.7432,0.6239,0.8581,0.0191,0.4969,0.2568,0.0,0.8029,0.0054,0.4224
adult_scaling_median,0.8102,0.6824,0.8942,0.0219,0.3944,0.1898,0.0,0.8029,0.0045,0.4269
adult_scaling_only,0.7593,0.6486,0.8888,0.02,0.6253,0.2407,0.0,0.8029,0.006,0.222
adult_scaling_trimmed,0.8084,0.6821,0.894,0.0222,0.3955,0.1916,0.0,0.8029,0.0045,0.4353
adult_sign_flip_clip,0.249,0.3987,0.6197,0.0,0.6938,0.751,0.0,0.8029,0.0,0.6931
adult_sign_flip_krum,0.8054,0.6379,0.8657,0.0197,0.4629,0.1946,0.0,0.8029,0.0036,0.5689
adult_sign_flip_median,0.751,0.0,0.3291,0.0,0.6912,0.249,0.0,0.8029,0.0,0.6931
adult_sign_flip_only,0.2994,0.1088,0.1868,0.0206,0.6993,0.7006,0.0,0.8029,-0.0002,0.6922
adult_sign_flip_trimmed,0.6705,0.0178,0.1771,0.005,0.6926,0.3295,0.0,0.8029,0.0,0.6931
adult_targeted_flip_clip,0.751,0.0,0.8462,0.0,0.5985,1.0,0.0,0.8029,0.0009,0.6772
adult_targeted_flip_krum,0.751,0.0,0.3748,0.0,0.8988,1.0,0.0,0.8029,0.0012,0.1617
adult_targeted_flip_median,0.7524,0.0106,0.807,0.0005,0.5234,0.9947,0.0,0.8029,0.0015,0.4154
adult_targeted_flip_only,0.756,0.0417,0.8484,0.0019,2.2722,0.9787,0.0,0.8029,0.0024,0.0058
adult_targeted_flip_trimmed,0.7553,0.0378,0.8526,0.0012,0.4896,0.9807,0.0,0.8029,0.0021,0.4353
