experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
credit_baseline,0.9963,0.4439,0.9585,0.0004,0.0123,0.0,0.0,0.8,-0.0002,0.0107
credit_dp_local_adaptive,0.9963,0.4439,0.9687,0.001,0.1546,0.0,16.4201,0.8,0.0,0.4071
credit_dp_local_eps1,0.996,0.4073,0.9041,0.0007,0.1841,0.0,1.3182,0.8,0.0001,0.449
credit_dp_local_eps2,0.9963,0.4439,0.9681,0.0009,0.1516,0.0,3.9559,0.8,0.0,0.4025
credit_dp_local_eps5,0.9963,0.4543,0.9759,0.0011,0.1276,0.0,22.6747,0.8,-0.0,0.3623
credit_dp_server_fixed,0.9963,0.4491,0.9565,0.0004,0.0124,0.0,0.0,0.7978,-0.0002,0.0161
credit_feature_poison_clip,0.9963,0.4543,0.969,0.0007,0.5623,0.0037,0.0,0.8001,-0.0,0.683
credit_feature_poison_krum,0.9511,0.0556,0.8862,0.0008,0.1351,0.1633,0.0,0.8,-0.0001,0.3744
credit_feature_poison_median,0.9515,0.0631,0.9771,0.0021,0.2566,0.051,0.0,0.8,-0.0,0.53
credit_feature_poison_only,0.9963,0.4439,0.9631,0.0004,0.0123,0.0037,0.0,0.8001,-0.0001,0.0178
credit_feature_poison_trimmed,0.9515,0.0624,0.977,0.002,0.2688,0.0612,0.0,0.8,0.0,0.5419
credit_fedprox,0.9963,0.4491,0.9708,0.0005,0.0185,0.0,0.0,0.8,-0.0002,0.0549
credit_final_system,0.9511,0.055,0.9027,0.0061,0.2946,0.1735,3.9559,0.8,0.0,0.566
credit_final_system_feature,0.9514,0.0597,0.9638,0.006,0.1523,0.102,3.9559,0.8,0.0,0.4036
credit_final_system_sign,0.9501,0.0,0.0681,0.0031,0.7099,1.0,3.9559,0.8,-0.0,0.693
credit_final_system_targeted,0.9511,0.055,0.9095,0.0055,0.1503,0.1735,3.9559,0.8,0.0001,0.3993
credit_fltrust,0.9963,0.4439,0.978,0.0007,0.2698,0.0,0.0,0.8,0.0,0.5427
credit_label_flip_clip,0.9963,0.4439,0.9671,0.0007,0.6011,0.0037,0.0,0.8001,-0.0,0.6882
credit_label_flip_krum,0.9511,0.0556,0.8978,0.001,0.1454,0.1633,0.0,0.8,-0.0001,0.391
credit_label_flip_median,0.9515,0.0618,0.97,0.0008,0.3363,0.0714,0.0,0.8,0.0001,0.5946
credit_label_flip_only,0.9961,0.4178,0.9209,0.0004,0.0787,0.0039,0.0,0.8001,-0.0002,0.2503
credit_label_flip_trimmed,0.9514,0.0611,0.9626,0.0011,0.352,0.0816,0.0,0.8,0.0,0.605
credit_scaling_clip,0.9963,0.4491,0.9783,0.0008,0.2658,0.0037,0.0,0.8001,0.0001,0.5389
credit_scaling_krum,0.9962,0.4334,0.9593,0.0009,0.0084,0.0038,0.0,0.8001,-0.0002,0.0004
credit_scaling_median,0.9964,0.4595,0.9819,0.0006,0.0102,0.0036,0.0,0.8001,-0.0002,0.0282
credit_scaling_only,0.9963,0.4439,0.9643,0.0005,0.0115,0.0037,0.0,0.8001,-0.0002,0.0012
credit_scaling_trimmed,0.9963,0.4543,0.9798,0.0007,0.0141,0.0037,0.0,0.8001,-0.0002,0.0454
credit_sign_flip_clip,0.9937,0.0574,0.4225,0.0008,0.6887,0.0063,0.0,0.8001,-0.0,0.6931
credit_sign_flip_krum,0.9511,0.0556,0.9253,0.0008,0.1896,0.1633,0.0,0.8,0.0,0.455
credit_sign_flip_median,0.9991,0.7033,0.7194,0.0006,0.6848,0.3469,0.0,0.8,-0.0,0.6931
credit_sign_flip_only,0.9933,0.0,0.046,0.0002,0.6842,0.0067,0.0,0.8001,0.0,0.6931
credit_sign_flip_trimmed,0.9974,0.0641,0.1162,0.0003,0.6599,0.949,0.0,0.8,0.0,0.6926
credit_targeted_flip_clip,0.9952,0.2924,0.8498,0.0002,0.5287,0.4286,0.0,0.8001,-0.0,0.6767
credit_targeted_flip_krum,0.9511,0.0556,0.9085,0.0008,0.1178,0.1633,0.0,0.8,-0.0001,0.3432
credit_targeted_flip_median,0.9515,0.0624,0.977,0.0019,0.2534,0.0612,0.0,0.8,-0.0,0.5275
credit_targeted_flip_only,0.996,0.4073,0.9234,0.0003,0.0052,0.2041,0.0,0.8001,-0.0,0.0046
credit_targeted_flip_trimmed,0.9515,0.0624,0.9767,0.0019,0.2589,0.0612,0.0,0.8,-0.0,0.5332
